,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
1006,朝阳无限芳菁苑,中楼层(共21层)|2003年建|1室0厅|59.39平米|北,365万,"61,459元/平",https://bj.ke.com/ershoufang/101114812644.html,ganluyuan,3804,1975,5.0,2868,523,2.0,1740,19023,54,1277,6519,21
1007,康家园,地下室(共6层)|1995年建|1室1厅|45.58平米|东北,182万,"39,930元/平",https://bj.ke.com/ershoufang/101114274687.html,ganluyuan,4054,2070,5.0,2262,2086,3.0,1466,23131,56,1158,5860,19
1008,甘露园南里,顶层(共6层)|1994年建|3室1厅|72.83平米|西南,380万,"52,177元/平",https://bj.ke.com/ershoufang/101114114118.html,ganluyuan,4007,2367,5.0,2787,429,2.0,1615,18665,53,900,4954,17
1009,康家园,顶层(共6层)|1996年建|2室1厅|70.67平米|东西,375万,"53,064元/平",https://bj.ke.com/ershoufang/101113491559.html,ganluyuan,4054,2070,5.0,2262,2086,3.0,1466,23131,56,1158,5860,19
1010,康家园,中楼层(共6层)|1994年建|1室1厅|44.48平米|南北,285万,"64,074元/平",https://bj.ke.com/ershoufang/101113298072.html,ganluyuan,4054,2070,5.0,2262,2086,3.0,1466,23131,56,1158,5860,19
1011,甘露家园,低楼层(共16层)|1989年建|2室1厅|68.04平米|南,450万,"66,138元/平",https://bj.ke.com/ershoufang/101112650474.html,ganluyuan,3714,1861,5.0,2223,382,2.0,1425,17287,48,731,3576,14
1012,甘露家园,低楼层(共16层)|1989年建|2室1厅|68.04平米|南,409万,"60,112元/平",https://bj.ke.com/ershoufang/101112227039.html,ganluyuan,3714,1861,5.0,2223,382,2.0,1425,17287,48,731,3576,14
1013,甘露家园,顶层(共5层)|1987年建|1室1厅|45.59平米|南,269万,"59,005元/平",https://bj.ke.com/ershoufang/101111675336.html,ganluyuan,3714,1861,5.0,2223,382,2.0,1425,17287,48,731,3576,14
1014,康家园,顶层(共6层)|1994年建|2室1厅|62.5平米|南北,373万,"59,680元/平",https://bj.ke.com/ershoufang/101117523843.html,ganluyuan,4054,2070,5.0,2262,2086,3.0,1466,23131,56,1158,5860,19
1015,甘露家园,顶层(共6层)|1995年建|3室1厅|68.92平米|南北,410万,"59,490元/平",https://bj.ke.com/ershoufang/101117473844.html,ganluyuan,3714,1861,5.0,2223,382,2.0,1425,17287,48,731,3576,14
1016,康家园,顶层(共6层)|1996年建|1室1厅|40.51平米|南,252万,"62,207元/平",https://bj.ke.com/ershoufang/101117432648.html,ganluyuan,4054,2070,5.0,2262,2086,3.0,1466,23131,56,1158,5860,19
1017,甘露园南里,顶层(共6层)|1993年建|2室1厅|55.68平米|南北,289万,"51,904元/平",https://bj.ke.com/ershoufang/101117403514.html,ganluyuan,4007,2367,5.0,2787,429,2.0,1615,18665,53,900,4954,17
1018,康家园,顶层(共6层)|1995年建|1室1厅|50.38平米|东北,300万,"59,548元/平",https://bj.ke.com/ershoufang/101117403359.html,ganluyuan,4054,2070,5.0,2262,2086,3.0,1466,23131,56,1158,5860,19
1019,甘露晴苑,顶层(共22层)|2001年建|1室1厅|67.37平米|东,415万,"61,601元/平",https://bj.ke.com/ershoufang/101117240615.html,ganluyuan,3483,1775,5.0,3049,614,2.0,1857,20015,57,1279,6097,20
1020,甘露园西里,低楼层(共6层)2室1厅|56.96平米|南北,298万,"52,318元/平",https://bj.ke.com/ershoufang/101117238874.html,ganluyuan,3550,2008,5.0,2307,273,2.0,1639,17562,49,923,3851,14
1021,康家园,顶层(共6层)|1996年建|2室1厅|65平米|南北,370万,"56,924元/平",https://bj.ke.com/ershoufang/101117222439.html,ganluyuan,4054,2070,5.0,2262,2086,3.0,1466,23131,56,1158,5860,19
1022,甘露晴苑,低楼层(共22层)|2001年建|1室1厅|61.61平米|东,325万,"52,752元/平",https://bj.ke.com/ershoufang/101117208802.html,ganluyuan,3483,1775,5.0,3049,614,2.0,1857,20015,57,1279,6097,20
1023,康家园,顶层(共6层)|1994年建|2室1厅|59.65平米|南北,375万,"62,867元/平",https://bj.ke.com/ershoufang/101116761743.html,ganluyuan,4054,2070,5.0,2262,2086,3.0,1466,23131,56,1158,5860,19
1024,甘露家园,高楼层(共6层)|1981年建|2室1厅|56.57平米|南北,321万,"56,744元/平",https://bj.ke.com/ershoufang/101116522634.html,ganluyuan,3714,1861,5.0,2223,382,2.0,1425,17287,48,731,3576,14
1025,康家园,顶层(共6层)|1996年建|1室1厅|48.79平米|南北,267万,"54,725元/平",https://bj.ke.com/ershoufang/101116448320.html,ganluyuan,4054,2070,5.0,2262,2086,3.0,1466,23131,56,1158,5860,19
1026,天天朝阳,中楼层(共16层)|2005年建|1室0厅|38.44平米|东,242万,"62,956元/平",https://bj.ke.com/ershoufang/101116392966.html,ganluyuan,4002,2361,5.0,3050,735,2.0,1823,20386,59,1252,6563,21
1027,甘露家园,地下室(共5层)2室1厅|52.37平米|南北,209万,"39,909元/平",https://bj.ke.com/ershoufang/101116270514.html,ganluyuan,3714,1861,5.0,2223,382,2.0,1425,17287,48,731,3576,14
1028,朝阳无限芳菁苑,中楼层(共21层)|2003年建|1室0厅|59.39平米|北,365万,"61,459元/平",https://bj.ke.com/ershoufang/101114812644.html,ganluyuan,3804,1975,5.0,2868,523,2.0,1740,19023,54,1277,6519,21
1029,康家园,中楼层(共7层)2室1厅|86.22平米|东西,450万,"52,193元/平",https://bj.ke.com/ershoufang/101117525717.html,ganluyuan,4054,2070,5.0,2262,2086,3.0,1466,23131,56,1158,5860,19
