,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
625,雅宝里社区,顶层(共5层)|1980年建|3室1厅|67.85平米|南北,473万,"69,713元/平",https://bj.ke.com/ershoufang/101116848373.html,chaoyangmenwai1,3072,1964,4.0,1889,1201,2.0,1304,13938,38,536,2344,13
626,芳草地西街,顶层(共5层)|1984年建|1室1厅|40.1平米|南,459万,"114,464元/平",https://bj.ke.com/ershoufang/101116842065.html,chaoyangmenwai1,2944,1620,5.0,2212,1119,2.0,1159,15511,37,588,2367,13
627,雅宝里社区,中楼层(共5层)|1980年建|2室1厅|51.2平米|南北,435万,"84,961元/平",https://bj.ke.com/ershoufang/101116830475.html,chaoyangmenwai1,3072,1964,4.0,1889,1201,2.0,1304,13938,38,536,2344,13
628,三丰里小区,中楼层(共6层)1室1厅|44.77平米|东南,323万,"72,147元/平",https://bj.ke.com/ershoufang/101116817104.html,chaoyangmenwai1,3026,1910,4.0,1950,1272,2.0,1201,13629,37,821,3258,13
629,雅宝里社区,顶层(共6层)|1985年建|1室1厅|46.62平米|西,335万,"71,858元/平",https://bj.ke.com/ershoufang/101116813258.html,chaoyangmenwai1,3072,1964,4.0,1889,1201,2.0,1304,13938,38,536,2344,13
630,吉祥里东区,低楼层(共6层)|2000年建|2室1厅|48.26平米|南北,475万,"98,426元/平",https://bj.ke.com/ershoufang/101116770452.html,chaoyangmenwai1,3088,1636,4.0,2035,1819,3.0,1171,13444,37,703,3073,13
631,吉祥里东区,顶层(共6层)|1993年建|2室1厅|57.13平米|南,499万,"87,345元/平",https://bj.ke.com/ershoufang/101116663272.html,chaoyangmenwai1,3088,1636,4.0,2035,1819,3.0,1171,13444,37,703,3073,13
632,三丰里小区,低楼层(共6层)1室1厅|48.96平米|西南,338万,"69,036元/平",https://bj.ke.com/ershoufang/101116627604.html,chaoyangmenwai1,3026,1910,4.0,1950,1272,2.0,1201,13629,37,821,3258,13
633,吉祥里东区,低楼层(共6层)|1993年建|1室1厅|41.23平米|东,328万,"79,554元/平",https://bj.ke.com/ershoufang/101116621272.html,chaoyangmenwai1,3088,1636,4.0,2035,1819,3.0,1171,13444,37,703,3073,13
634,芳草地西街,中楼层(共5层)|1984年建|1室1厅|40.1平米|南,471万,"117,457元/平",https://bj.ke.com/ershoufang/101116592358.html,chaoyangmenwai1,2944,1620,5.0,2212,1119,2.0,1159,15511,37,588,2367,13
635,朝阳门南大街,中楼层(共20层)|1984年建|1室1厅|47.4平米|南西,410万,"86,498元/平",https://bj.ke.com/ershoufang/101116490276.html,chaoyangmenwai1,2751,1589,4.0,2048,1088,2.0,929,13032,36,791,3906,14
636,朝阳门北大街,顶层(共16层)|1987年建|1室1厅|48平米|南,422万,"87,917元/平",https://bj.ke.com/ershoufang/101116393645.html,chaoyangmenwai1,2305,1245,4.0,1646,1285,3.0,1027,13490,41,456,3016,13
