,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
88,光辉里小区,中楼层(共14层)|1982年建|2室1厅|61.36平米|南,500万,"81,487元/平",https://bj.ke.com/ershoufang/101112911009.html,cbd,2806,987,5.0,1014,1003,3.0,1256,17038,47,526,2451,13
89,光辉里小区,低楼层(共14层)|1982年建|2室1厅|61.36平米|南,499万,"81,324元/平",https://bj.ke.com/ershoufang/101112828491.html,cbd,2806,987,5.0,1014,1003,3.0,1256,17038,47,526,2451,13
90,光辉南里,低楼层(共6层)|1994年建|2室1厅|63.45平米|南北,440万,"69,346元/平",https://bj.ke.com/ershoufang/101112505070.html,cbd,2970,1179,5.0,1179,1195,3.0,1127,17299,48,459,2323,13
91,光辉南里,中楼层(共6层)|1995年建|1室1厅|54.12平米|南北,330万,"60,976元/平",https://bj.ke.com/ershoufang/101109093932.html,cbd,2970,1179,5.0,1179,1195,3.0,1127,17299,48,459,2323,13
92,柏林爱乐二期,中楼层(共22层)|2007年建|1室1厅|58.93平米|西东北,320万,"54,302元/平",https://bj.ke.com/ershoufang/101117503810.html,changying,4100,1795,6.0,2906,1835,4.0,1964,27889,76,1229,12918,33
93,北辰福第二号院,低楼层(共22层)|2008年建|2室1厅|78.12平米|南西,389万,"49,796元/平",https://bj.ke.com/ershoufang/101117404605.html,changying,3738,1165,6.0,2544,1205,5.0,1930,30031,92,1620,16092,38
94,富力阳光美园,中楼层(共27层)|2010年建|3室1厅|89.69平米|东北,500万,"55,748元/平",https://bj.ke.com/ershoufang/101117279883.html,changying,4126,1617,6.0,2932,1657,5.0,1868,30223,93,1454,15773,38
95,金隅丽景园,中楼层(共28层)|2010年建|1室1厅|47.78平米|东,218万,"45,626元/平",https://bj.ke.com/ershoufang/101117274295.html,changying,3872,1315,6.0,2678,1355,5.0,2202,31429,97,1727,16545,40
96,北辰福第一号院,中楼层(共27层)2室1厅|82.51平米|南,449万,"54,418元/平",https://bj.ke.com/ershoufang/101117253604.html,changying,4171,1670,6.0,2977,1710,5.0,1849,30060,92,1670,16470,38
97,金隅丽景园,高楼层(共28层)|2009年建|2室1厅|69.39平米|西南,380万,"54,763元/平",https://bj.ke.com/ershoufang/101117474967.html,changying,3872,1315,6.0,2678,1355,5.0,2202,31429,97,1727,16545,40
