,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
0,西营房,顶层(共17层)|2006年建|1室0厅|36.31平米|北,500万,"137,704元/平",https://bj.ke.com/ershoufang/101116855151.html,andingmen,2177,1405,4.0,2461,1588,4.0,655,7773,24,1009,10466,33
1,安外大街3号院,中楼层(共6层)|1988年建|1室1厅|33.77平米|东,465万,"137,697元/平",https://bj.ke.com/ershoufang/101114664397.html,andingmen,2043,1207,2.0,3135,2409,4.0,486,6305,21,924,9655,30
