,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
185,芳古园一区,高楼层(共6层)|1992年建|2室1厅|71.18平米|南,398万,"55,915元/平",https://bj.ke.com/ershoufang/101116126933.html,fangzhuang1,3273,1322,5.0,2301,1539,4.0,1443,19673,56,1106,10546,29
186,芳星园二区,中楼层(共12层)|1990年建|1室1厅|44.3平米|南,375万,"84,651元/平",https://bj.ke.com/ershoufang/101116122005.html,fangzhuang1,3515,1310,5.0,2447,1629,4.0,1501,20864,58,907,8000,23
187,芳群园三区,顶层(共14层)|1995年建|2室1厅|58.83平米|南北,408万,"69,353元/平",https://bj.ke.com/ershoufang/101116120735.html,fangzhuang1,3652,1637,5.0,3191,829,2.0,1430,20128,58,987,8951,26
188,10AM新坐标,低楼层(共30层)|2005年建|1室1厅|53.81平米|北,312万,"57,982元/平",https://bj.ke.com/ershoufang/101116116776.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
189,芳群园四区,顶层(共6层)|1988年建|1室1厅|47.42平米|南北,278万,"58,626元/平",https://bj.ke.com/ershoufang/101116116642.html,fangzhuang1,3706,1700,5.0,2318,995,2.0,1474,20263,58,989,9010,26
190,芳古园一区,顶层(共6层)|1992年建|2室1厅|70.89平米|南,370万,"52,194元/平",https://bj.ke.com/ershoufang/101116115470.html,fangzhuang1,3273,1322,5.0,2301,1539,4.0,1443,19673,56,1106,10546,29
191,10AM新坐标,高楼层(共30层)|2005年建|1室1厅|55.07平米|南,383万,"69,548元/平",https://bj.ke.com/ershoufang/101116105396.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
192,10AM新坐标,低楼层(共26层)|2005年建|1室0厅|43.55平米|北,270万,"61,998元/平",https://bj.ke.com/ershoufang/101116087758.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
193,芳群园一区,低楼层(共25层)|1991年建|2室1厅|58平米|南北,433万,"74,656元/平",https://bj.ke.com/ershoufang/101116084730.html,fangzhuang1,3346,1280,5.0,2471,1738,4.0,1383,19757,57,1049,9410,26
194,芳林苑,底层(共22层)|2001年建|1室1厅|66.86平米|北,370万,"55,340元/平",https://bj.ke.com/ershoufang/101116080519.html,fangzhuang1,3119,1092,5.0,2050,1411,4.0,1638,22622,58,1172,9225,24
195,10AM新坐标,高楼层(共29层)|2005年建|1室0厅|46.72平米|东,266万,"56,935元/平",https://bj.ke.com/ershoufang/101116057701.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
196,天创公馆,顶层(共6层)|2006年建|2室1厅|70.83平米|东,497万,"70,169元/平",https://bj.ke.com/ershoufang/101116040894.html,fangzhuang1,3503,1463,5.0,2985,589,2.0,1609,23729,59,1048,9089,27
197,芳星园二区,底层(共12层)|1993年建|3室1厅|68.42平米|东南,469.8万,"68,665元/平",https://bj.ke.com/ershoufang/101116032651.html,fangzhuang1,3515,1310,5.0,2447,1629,4.0,1501,20864,58,907,8000,23
198,芳群园四区,低楼层(共12层)|1996年建|3室1厅|69.36平米|东南,440万,"63,438元/平",https://bj.ke.com/ershoufang/101116029354.html,fangzhuang1,3706,1700,5.0,2318,995,2.0,1474,20263,58,989,9010,26
199,芳城园二区,低楼层(共25层)|1991年建|2室1厅|72.88平米|西南东北,470万,"64,490元/平",https://bj.ke.com/ershoufang/101116012962.html,fangzhuang1,3599,1575,5.0,2677,1898,4.0,1544,20350,58,910,8052,24
200,芳星园二区,中楼层(共6层)|1980年建|2室1厅|55.9平米|南,416万,"74,419元/平",https://bj.ke.com/ershoufang/101116011170.html,fangzhuang1,3515,1310,5.0,2447,1629,4.0,1501,20864,58,907,8000,23
201,芳城园二区,低楼层(共25层)|1990年建|2室1厅|68.8平米|西南,477.7万,"69,434元/平",https://bj.ke.com/ershoufang/101115992378.html,fangzhuang1,3599,1575,5.0,2677,1898,4.0,1544,20350,58,910,8052,24
202,芳城园二区,高楼层(共25层)|1992年建|1室1厅|57.02平米|西南,396万,"69,450元/平",https://bj.ke.com/ershoufang/101115987138.html,fangzhuang1,3599,1575,5.0,2677,1898,4.0,1544,20350,58,910,8052,24
203,芳星园三区,高楼层(共6层)|1988年建|2室1厅|78.08平米|东西,458万,"58,658元/平",https://bj.ke.com/ershoufang/101115985070.html,fangzhuang1,3864,1717,5.0,2576,1296,2.0,1663,23847,60,1080,9207,26
204,芳城园二区,中楼层(共25层)|1990年建|1室1厅|57平米|东南,409万,"71,755元/平",https://bj.ke.com/ershoufang/101115980918.html,fangzhuang1,3599,1575,5.0,2677,1898,4.0,1544,20350,58,910,8052,24
205,芳群园二区,中楼层(共15层)|1991年建|1室1厅|50.69平米|南,335万,"66,088元/平",https://bj.ke.com/ershoufang/101115980815.html,fangzhuang1,3393,1335,5.0,2666,1400,2.0,1414,19833,57,1086,9486,26
206,芳星园二区,顶层(共6层)3室1厅|68.48平米|南北,448万,"65,421元/平",https://bj.ke.com/ershoufang/101115976387.html,fangzhuang1,3515,1310,5.0,2447,1629,4.0,1501,20864,58,907,8000,23
207,芳群园四区,顶层(共20层)1室1厅|43.07平米|南,258万,"59,903元/平",https://bj.ke.com/ershoufang/101115971288.html,fangzhuang1,3706,1700,5.0,2318,995,2.0,1474,20263,58,989,9010,26
208,芳群园四区,中楼层(共20层)|1990年建|1室1厅|43.18平米|东南,285万,"66,003元/平",https://bj.ke.com/ershoufang/101115951803.html,fangzhuang1,3706,1700,5.0,2318,995,2.0,1474,20263,58,989,9010,26
209,10AM新坐标,中楼层(共26层)|2005年建|1室0厅|51.86平米|南,335万,"64,597元/平",https://bj.ke.com/ershoufang/101115937448.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
210,10AM新坐标,高楼层(共29层)|2005年建|1室0厅|41.19平米|东,289万,"70,163元/平",https://bj.ke.com/ershoufang/101115933849.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
211,芳古园一区,中楼层(共6层)|1992年建|2室1厅|56.86平米|南北,384万,"67,535元/平",https://bj.ke.com/ershoufang/101115923983.html,fangzhuang1,3273,1322,5.0,2301,1539,4.0,1443,19673,56,1106,10546,29
212,gogo新世代,中楼层(共23层)|2005年建|1室0厅|29.37平米|南,254万,"86,483元/平",https://bj.ke.com/ershoufang/101115916714.html,fangzhuang1,3058,944,5.0,2183,1402,4.0,1396,19814,57,1052,8993,26
213,芳星园三区,低楼层(共14层)|1980年建|3室1厅|86.39平米|南北,495万,"57,299元/平",https://bj.ke.com/ershoufang/101115908896.html,fangzhuang1,3864,1717,5.0,2576,1296,2.0,1663,23847,60,1080,9207,26
214,芳群园四区,低楼层(共6层)3室1厅|71.68平米|东南北,500万,"69,755元/平",https://bj.ke.com/ershoufang/101115895787.html,fangzhuang1,3706,1700,5.0,2318,995,2.0,1474,20263,58,989,9010,26
215,gogo新世代,低楼层(共30层)|2005年建|1室1厅|46.39平米|西,302万,"65,101元/平",https://bj.ke.com/ershoufang/101115888234.html,fangzhuang1,3058,944,5.0,2183,1402,4.0,1396,19814,57,1052,8993,26
216,gogo新世代,顶层(共9层)|2005年建|1室1厅|62.77平米|南西,387万,"61,654元/平",https://bj.ke.com/ershoufang/101115886485.html,fangzhuang1,3058,944,5.0,2183,1402,4.0,1396,19814,57,1052,8993,26
217,gogo新世代,中楼层(共9层)|2005年建|1室1厅|62.77平米|西南,388万,"61,813元/平",https://bj.ke.com/ershoufang/101115876648.html,fangzhuang1,3058,944,5.0,2183,1402,4.0,1396,19814,57,1052,8993,26
218,芳群园三区,顶层(共14层)|1995年建|2室2厅|70.4平米|南西北,499万,"70,881元/平",https://bj.ke.com/ershoufang/101115868077.html,fangzhuang1,3652,1637,5.0,3191,829,2.0,1430,20128,58,987,8951,26
219,10AM新坐标,低楼层(共30层)|2005年建|1室1厅|53.54平米|西南,275万,"51,364元/平",https://bj.ke.com/ershoufang/101115855671.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
220,芳群园三区,低楼层(共14层)|1995年建|2室1厅|59.53平米|东西,395万,"66,354元/平",https://bj.ke.com/ershoufang/101115837582.html,fangzhuang1,3652,1637,5.0,3191,829,2.0,1430,20128,58,987,8951,26
221,芳群园四区,中楼层(共12层)|1996年建|2室1厅|56.03平米|西南,375万,"66,929元/平",https://bj.ke.com/ershoufang/101115832562.html,fangzhuang1,3706,1700,5.0,2318,995,2.0,1474,20263,58,989,9010,26
222,芳古园一区,中楼层(共14层)|1996年建|2室1厅|56.29平米|南,430万,"76,391元/平",https://bj.ke.com/ershoufang/101115827134.html,fangzhuang1,3273,1322,5.0,2301,1539,4.0,1443,19673,56,1106,10546,29
223,芳古园一区,顶层(共6层)|1992年建|2室1厅|57.67平米|南北,356万,"61,731元/平",https://bj.ke.com/ershoufang/101115820232.html,fangzhuang1,3273,1322,5.0,2301,1539,4.0,1443,19673,56,1106,10546,29
224,10AM新坐标,高楼层(共29层)|2005年建|1室0厅|41.19平米|西,265万,"64,337元/平",https://bj.ke.com/ershoufang/101115805391.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
225,芳星园三区,中楼层(共16层)|1993年建|2室1厅|58.32平米|南北,378万,"64,815元/平",https://bj.ke.com/ershoufang/101115799611.html,fangzhuang1,3864,1717,5.0,2576,1296,2.0,1663,23847,60,1080,9207,26
226,芳古园一区,中楼层(共18层)|1990年建|2室1厅|65.77平米|西南,468万,"71,158元/平",https://bj.ke.com/ershoufang/101115795084.html,fangzhuang1,3273,1322,5.0,2301,1539,4.0,1443,19673,56,1106,10546,29
227,芳古园一区,中楼层(共6层)|1991年建|2室1厅|56.22平米|南北,365万,"64,924元/平",https://bj.ke.com/ershoufang/101115791703.html,fangzhuang1,3273,1322,5.0,2301,1539,4.0,1443,19673,56,1106,10546,29
228,芳古园一区,中楼层(共6层)|1991年建|2室1厅|56.22平米|南北,390万,"69,371元/平",https://bj.ke.com/ershoufang/101115767459.html,fangzhuang1,3273,1322,5.0,2301,1539,4.0,1443,19673,56,1106,10546,29
229,芳群园一区,低楼层(共25层)|1990年建|2室1厅|56.79平米|南,420万,"73,957元/平",https://bj.ke.com/ershoufang/101115745353.html,fangzhuang1,3346,1280,5.0,2471,1738,4.0,1383,19757,57,1049,9410,26
230,芳群园四区,中楼层(共20层)1室1厅|43.38平米|东南,263万,"60,628元/平",https://bj.ke.com/ershoufang/101115740001.html,fangzhuang1,3706,1700,5.0,2318,995,2.0,1474,20263,58,989,9010,26
231,芳古园一区,中楼层(共25层)1室1厅|35.39平米|东南,230万,"64,991元/平",https://bj.ke.com/ershoufang/101115717366.html,fangzhuang1,3273,1322,5.0,2301,1539,4.0,1443,19673,56,1106,10546,29
232,紫芳园一区,低楼层(共25层)|2002年建|1室1厅|52.41平米|东,358万,"68,308元/平",https://bj.ke.com/ershoufang/101115700579.html,fangzhuang1,3013,969,5.0,1945,1288,4.0,1649,22504,59,1184,9107,24
233,芳群园一区,高楼层(共22层)1室1厅|40.87平米|西南,285万,"69,734元/平",https://bj.ke.com/ershoufang/101115671197.html,fangzhuang1,3346,1280,5.0,2471,1738,4.0,1383,19757,57,1049,9410,26
234,芳群园一区,中楼层(共15层)1室1厅|53.55平米|南,330万,"61,625元/平",https://bj.ke.com/ershoufang/101115646192.html,fangzhuang1,3346,1280,5.0,2471,1738,4.0,1383,19757,57,1049,9410,26
235,芳城东里,中楼层(共7层)|1995年建|1室1厅|41.47平米|南,309万,"74,512元/平",https://bj.ke.com/ershoufang/101115626410.html,fangzhuang1,3106,832,5.0,2037,1151,4.0,1490,20792,57,908,7928,24
236,芳群园四区,中楼层(共12层)|1996年建|2室1厅|61.05平米|东南,400万,"65,521元/平",https://bj.ke.com/ershoufang/101115617308.html,fangzhuang1,3706,1700,5.0,2318,995,2.0,1474,20263,58,989,9010,26
237,10AM新坐标,中楼层(共30层)|2005年建|1室1厅|56平米|北,360万,"64,286元/平",https://bj.ke.com/ershoufang/101115612762.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
238,芳星园三区,低楼层(共16层)2室1厅|60.96平米|南,422万,"69,226元/平",https://bj.ke.com/ershoufang/101115603950.html,fangzhuang1,3864,1717,5.0,2576,1296,2.0,1663,23847,60,1080,9207,26
239,gogo新世代,低楼层(共23层)|2005年建|1室0厅|25.77平米|西,229万,"88,864元/平",https://bj.ke.com/ershoufang/101115600863.html,fangzhuang1,3058,944,5.0,2183,1402,4.0,1396,19814,57,1052,8993,26
240,芳群园四区,高楼层(共20层)1室1厅|40.21平米|南,260万,"64,661元/平",https://bj.ke.com/ershoufang/101115591234.html,fangzhuang1,3706,1700,5.0,2318,995,2.0,1474,20263,58,989,9010,26
241,10AM新坐标,低楼层(共29层)|2005年建|1室0厅|39.73平米|西,256万,"64,435元/平",https://bj.ke.com/ershoufang/101115571513.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
242,10AM新坐标,低楼层(共26层)|2005年建|1室0厅|51.1平米|南,383万,"74,952元/平",https://bj.ke.com/ershoufang/101115554678.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
243,紫芳园一区,中楼层(共25层)|2000年建|1室1厅|52.59平米|西,353万,"67,124元/平",https://bj.ke.com/ershoufang/101115522705.html,fangzhuang1,3013,969,5.0,1945,1288,4.0,1649,22504,59,1184,9107,24
244,芳城园三区,中楼层(共25层)|1994年建|2室1厅|62.55平米|西南,465万,"74,341元/平",https://bj.ke.com/ershoufang/101115458329.html,fangzhuang1,3435,1216,5.0,2366,1535,4.0,1414,20706,57,850,7842,23
245,10AM新坐标,低楼层(共29层)|2005年建|1室0厅|45.95平米|西,298万,"64,854元/平",https://bj.ke.com/ershoufang/101115457205.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
246,gogo新世代,高楼层(共30层)|2005年建|1室1厅|46.39平米|西,323万,"69,628元/平",https://bj.ke.com/ershoufang/101115449725.html,fangzhuang1,3058,944,5.0,2183,1402,4.0,1396,19814,57,1052,8993,26
247,芳古园一区,高楼层(共6层)|1989年建|2室1厅|57.14平米|南北,386万,"67,554元/平",https://bj.ke.com/ershoufang/101115420002.html,fangzhuang1,3273,1322,5.0,2301,1539,4.0,1443,19673,56,1106,10546,29
248,10AM新坐标,高楼层(共29层)|2005年建|1室0厅|27.4平米|西,219万,"79,928元/平",https://bj.ke.com/ershoufang/101115395129.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
249,紫芳园一区,中楼层(共25层)|2000年建|1室1厅|52.58平米|西,363万,"69,038元/平",https://bj.ke.com/ershoufang/101115379972.html,fangzhuang1,3013,969,5.0,1945,1288,4.0,1649,22504,59,1184,9107,24
250,10AM新坐标,高楼层(共29层)|2005年建|1室0厅|34.5平米|南,255万,"73,914元/平",https://bj.ke.com/ershoufang/101115345780.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
251,芳群园三区,中楼层(共6层)|1991年建|1室1厅|43.9平米|南,290万,"66,060元/平",https://bj.ke.com/ershoufang/101115258552.html,fangzhuang1,3652,1637,5.0,3191,829,2.0,1430,20128,58,987,8951,26
252,紫芳园一区,高楼层(共25层)|2000年建|1室1厅|52.58平米|西,380万,"72,271元/平",https://bj.ke.com/ershoufang/101115248873.html,fangzhuang1,3013,969,5.0,1945,1288,4.0,1649,22504,59,1184,9107,24
253,10AM新坐标,中楼层(共29层)|2005年建|1室0厅|43.74平米|南,305万,"69,731元/平",https://bj.ke.com/ershoufang/101115227632.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
254,gogo新世代,中楼层(共23层)|2005年建|1室1厅|29.93平米|南,255万,"85,199元/平",https://bj.ke.com/ershoufang/101115200754.html,fangzhuang1,3058,944,5.0,2183,1402,4.0,1396,19814,57,1052,8993,26
255,芳群园三区,高楼层(共14层)|1995年建|2室1厅|60.47平米|南北,416万,"68,795元/平",https://bj.ke.com/ershoufang/101115178630.html,fangzhuang1,3652,1637,5.0,3191,829,2.0,1430,20128,58,987,8951,26
256,10AM新坐标,中楼层(共30层)|2005年建|1室1厅|56平米|北,365万,"65,179元/平",https://bj.ke.com/ershoufang/101115071789.html,fangzhuang1,3652,1469,5.0,2583,1788,4.0,1458,19958,57,798,7853,24
