,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
1201,港湾国际,低楼层(共16层)|2005年建|1室0厅|39.08平米|南,310万,"79,325元/平",https://bj.ke.com/ershoufang/101114439693.html,gongti,2980,1806,4.0,2705,1531,2.0,1042,13716,33,775,5220,16
1202,太平庄南里,中楼层(共5层)|1978年建|3室1厅|57.59平米|南北西,450万,"78,139元/平",https://bj.ke.com/ershoufang/101114436401.html,gongti,3132,1846,4.0,2895,863,2.0,1048,13907,35,771,3740,14
1203,幸福二村,顶层(共6层)|1987年建|1室1厅|45.87平米|南,375万,"81,753元/平",https://bj.ke.com/ershoufang/101114389709.html,gongti,3358,2248,4.0,2811,933,2.0,969,13410,34,745,3590,14
1204,港湾国际,高楼层(共16层)|2005年建|1室0厅|39.08平米|南,315万,"80,604元/平",https://bj.ke.com/ershoufang/101114365295.html,gongti,2980,1806,4.0,2705,1531,2.0,1042,13716,33,775,5220,16
1205,新东路,低楼层(共17层)|1986年建|2室1厅|58.99平米|西北,475万,"80,523元/平",https://bj.ke.com/ershoufang/101114213510.html,gongti,8079,536,17.0,8138,710,17.0,3642,76139,251,3975,76434,234
1206,幸福二村,底层(共6层)1室1厅|31.54平米|南,243万,"77,046元/平",https://bj.ke.com/ershoufang/101112734571.html,gongti,3358,2248,4.0,2811,933,2.0,969,13410,34,745,3590,14
1207,幸福二村,低楼层(共11层)|1990年建|1室1厅|50.87平米|南,499万,"98,094元/平",https://bj.ke.com/ershoufang/101112637184.html,gongti,3358,2248,4.0,2811,933,2.0,969,13410,34,745,3590,14
1208,幸福二村,顶层(共6层)|1993年建|2室1厅|61.63平米|西南,425万,"68,960元/平",https://bj.ke.com/ershoufang/101112295329.html,gongti,3358,2248,4.0,2811,933,2.0,969,13410,34,745,3590,14
1209,安化北里,底层(共6层)|1984年建|1室1厅|34.12平米|东南,493万,"144,491元/平",https://bj.ke.com/ershoufang/101117498720.html,guangqumen,2793,1089,5.0,1648,1346,3.0,1567,17291,44,893,6096,19
1210,广和里,底层(共5层)|1979年建|1室1厅|35.19平米|东北,225万,"63,939元/平",https://bj.ke.com/ershoufang/101114775642.html,guangqumen,3293,1411,5.0,1878,1668,3.0,1322,18802,48,672,4157,15
1211,广和里,中楼层(共5层)|1976年建|2室1厅|48.87平米|南,335万,"68,550元/平",https://bj.ke.com/ershoufang/101109276757.html,guangqumen,3293,1411,5.0,1878,1668,3.0,1322,18802,48,672,4157,15
1212,领行国际,顶层(共21层)|2005年建|1室1厅|58.46平米|北,420.9万,"71,998元/平",https://bj.ke.com/ershoufang/101106472941.html,guangqumen,3307,1532,5.0,1892,1789,3.0,1274,16434,45,658,4315,15
1213,领行国际,顶层(共21层)|2005年建|1室1厅|62.22平米|北,448万,"72,003元/平",https://bj.ke.com/ershoufang/101106472923.html,guangqumen,3307,1532,5.0,1892,1789,3.0,1274,16434,45,658,4315,15
1214,华龙美树,高楼层(共19层)|2005年建|1室0厅|36.76平米|北,209万,"56,856元/平",https://bj.ke.com/ershoufang/101117491514.html,guanzhuang,3786,1178,6.0,1995,1194,4.0,1707,26813,81,1034,11842,33
1215,华龙美树,中楼层(共19层)|2006年建|1室1厅|63.81平米|南,418万,"65,507元/平",https://bj.ke.com/ershoufang/101117474078.html,guanzhuang,3786,1178,6.0,1995,1194,4.0,1707,26813,81,1034,11842,33
1216,管庄西里,中楼层(共5层)|1982年建|2室1厅|52.97平米|南,258万,"48,707元/平",https://bj.ke.com/ershoufang/101117424759.html,guanzhuang,4550,1963,6.0,2848,1979,4.0,1905,27927,85,1286,12956,35
1217,瑞祥里,中楼层(共6层)|2008年建|2室1厅|80.54平米|南北,395万,"49,044元/平",https://bj.ke.com/ershoufang/101117382975.html,guanzhuang,4924,2081,6.0,2748,1277,3.0,1849,29641,91,1187,14670,39
1218,周井大院,中楼层(共5层)2室1厅|51.82平米|南,217万,"41,876元/平",https://bj.ke.com/ershoufang/101117351875.html,guanzhuang,4435,1935,6.0,2644,1951,4.0,1743,27070,82,1032,12099,33
1219,京通苑,高楼层(共18层)2室1厅|83.56平米|东南,385万,"46,075元/平",https://bj.ke.com/ershoufang/101117306115.html,guanzhuang,3988,1202,6.0,2196,1218,4.0,1793,28998,88,1125,14027,36
1220,建东苑,中楼层(共6层)|2000年建|2室2厅|78.91平米|东南北,388万,"49,170元/平",https://bj.ke.com/ershoufang/101117295646.html,guanzhuang,4750,2553,6.0,2993,2358,4.0,1900,27426,83,1167,12455,34
1221,汇鸿家园,中楼层(共10层)2室1厅|80.94平米|南北,485万,"59,921元/平",https://bj.ke.com/ershoufang/101117293070.html,guanzhuang,4303,2032,6.0,3145,2536,4.0,1817,27476,83,1128,12505,34
1222,京通苑,高楼层(共24层)|2000年建|2室1厅|107.98平米|东南,485万,"44,916元/平",https://bj.ke.com/ershoufang/101117284928.html,guanzhuang,3988,1202,6.0,2196,1218,4.0,1793,28998,88,1125,14027,36
