,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
29,皇姑坟小区,顶层(共6层)|1992年建|2室1厅|50.06平米|西北,410万,"81,902元/平",https://bj.ke.com/ershoufang/101117480582.html,anzhen1,1772,642,2.0,3100,926,2.0,573,6178,20,931,10199,29
30,安贞里,中楼层(共17层)|1988年建|2室1厅|63.84平米|东北,478万,"74,875元/平",https://bj.ke.com/ershoufang/101117478740.html,anzhen1,1918,976,2.0,2947,1598,4.0,762,8085,22,964,11113,31
31,安华里社区,顶层(共6层)|1982年建|2室1厅|58.52平米|南北,485万,"82,878元/平",https://bj.ke.com/ershoufang/101117429791.html,anzhen1,1499,578,2.0,3364,1071,3.0,492,5339,18,1029,12892,30
32,安贞里,中楼层(共17层)|1988年建|1室1厅|58.56平米|南,439万,"74,966元/平",https://bj.ke.com/ershoufang/101117428868.html,anzhen1,1918,976,2.0,2947,1598,4.0,762,8085,22,964,11113,31
33,安贞西里,中楼层(共16层)|1986年建|1室1厅|37.86平米|北,359万,"94,824元/平",https://bj.ke.com/ershoufang/101117409240.html,anzhen1,1523,515,2.0,3123,790,3.0,641,6502,21,950,11355,32
34,安华西里社区,中楼层(共21层)|1990年建|1室1厅|37.98平米|南,380万,"100,053元/平",https://bj.ke.com/ershoufang/101117407618.html,anzhen1,1688,799,2.0,2663,1536,4.0,517,5439,18,1009,12701,32
35,小黄庄前街3号院,低楼层(共6层)|1982年建|1室1厅|40.8平米|南,336万,"82,353元/平",https://bj.ke.com/ershoufang/101117399793.html,anzhen1,2195,1130,2.0,2553,1597,4.0,547,7044,24,946,9912,30
36,安贞西里,高楼层(共6层)|1984年建|1室1厅|42.07平米|东西,380万,"90,326元/平",https://bj.ke.com/ershoufang/101117394948.html,anzhen1,1523,515,2.0,3123,790,3.0,641,6502,21,950,11355,32
37,安华西里社区,顶层(共6层)|1991年建|1室1厅|45.19平米|南,359万,"79,443元/平",https://bj.ke.com/ershoufang/101117392105.html,anzhen1,1688,799,2.0,2663,1536,4.0,517,5439,18,1009,12701,32
38,皇姑坟小区,高楼层(共6层)|1992年建|2室1厅|50.06平米|西北,390万,"77,907元/平",https://bj.ke.com/ershoufang/101117381641.html,anzhen1,1772,642,2.0,3100,926,2.0,573,6178,20,931,10199,29
